image_path,label
dataset/kfood/나물/나물/가지볶음/Img_040_0681.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0975.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0566.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0460.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0459.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0338.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0212.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0626.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0763.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0358.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0159.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0669.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0455.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0918.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0057.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0988.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0554.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0259.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0587.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0491.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0785.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0477.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0413.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0694.jpg,가지볶음
dataset/kfood/나물/나물/가지볶음/Img_040_0768.jpg,가지볶음
dataset/kfood/장/장/간장게장/Img_093_0864.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0636.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0693.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0157.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0659.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0108.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0446.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0872.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0190.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0503.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0551.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0146.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0660.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0959.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0040.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0880.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0164.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0705.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0834.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0608.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0082.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0706.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0537.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0449.jpg,간장게장
dataset/kfood/장/장/간장게장/Img_093_0109.jpg,간장게장
dataset/kfood/구이/구이/갈비구이/Img_000_0961.jpg,갈비구이
dataset/kfood/구이/구이/갈비구이/Img_000_0124.jpg,갈비구이
dataset/kfood/구이/구이/갈비구이/Img_000_0193.jpg,갈비구이
dataset/kfood/구이/구이/갈비구이/Img_000_0421.jpg,갈비구이
dataset/kfood/구이/구이/갈비구이/Img_000_0352.jpg,갈비구이
dataset/kfood/구이/구이/갈비구이/Img_000_0289.jpg,갈비구이
dataset/kfood/구이/구이/갈비구이/Img_000_0275.jpg,갈비구이
